壮族,15489630,广西壮族自治区,云南省,文山壮族苗族自治州
满族,9821180,分布,全国,各地,居住,辽宁省
回族,8602978,宁夏回族自治区,甘肃,青海,以及,河南,河北,山东,云南,省份,分布,大小不等,聚居区
苗族,7398035,贵州,湖南,云南,四川,广西,湖北,广东,省区,黔东南,湘鄂川黔,交界,地带,湘西,为主,较大,聚居区
维吾尔族,7214431,新疆维吾尔自治区,大多,聚居,天山,以南,各个,绿洲
彝族,6572173,云南,四川,贵州,广西,省区
土家族,5704223,湖南省,西部,永顺,龙山,保靖,桑植,古丈,湖北省,西部,来凤,鹤峰,咸丰,宣恩,利川,恩施,巴东,建始,五锋,长阳,四川省,酉阳,秀山,黔江,石柱,彭水
蒙古族,4806849,内蒙古自治区,新疆,青海,甘肃,黑龙江,吉林,辽宁,省区,蒙古族,自治州
藏族,4593330,西藏自治区,以及,青海省,海北,黄南,海南,果洛,玉树,藏族,自治州,海西蒙古族藏族自治州,甘肃省,甘南藏族自治州,天祝藏族自治县,四川省,阿坝,甘孜,两个,藏族,自治州,水里,藏族,自治县,云南省迪庆藏族自治州,布依族,2545059,黔南,黔西南,两个,布依族,苗族,自治州,安顺,地区,贵阳市
侗族,2514014,贵州省,黎平,从江,榕江,天柱,锦屏,三穗,镇运,玉屏,湖南省,新晃,靖县,通道,广西壮族自治区,三江,龙胜,融水
瑶族,2134013,广西壮族自治区,湖南,云南,广东,贵州
朝鲜族,1920597,吉林省延边朝鲜族自治州
白族,1594827,云南省,大理白族自治州
哈尼族,1253952,云南省,西南部,礼江,下游,红河,西侧,哀牢山,新平,镇源,墨江,元江,红河,元阳,绿春,金平,江城
哈萨克族,1111718,新疆维吾尔自治区,伊犁哈萨克自治州,木垒哈萨克自治县,巴里坤哈萨克自治县
黎族,1110900,广东省,海南,黎族,苗族,自治州
傣族,1025128,云南省西双版纳傣族自治州,德宏傣族景颇族自治州,以及,耿马,两个,自治县
畲族,630378,福建,浙江,江西,广东,安徽,五省,80,多个,部分,山区,其中,福建,浙江,两省,最多
傈僳族,574856,云南省,怒江傈僳族自治州,以及,丽江,迪庆,大理,保山,德宏,楚雄,临沧,等州县
仡佬族,437997,贵州省,织金,黔西,六枝,关岭,普定,大方,清镇,仁怀,水城,安顺,遵义,平坝,金沙,兴仁
枯族,400476,云南省,澜沧,勐连县
高山族,400000,台湾省,台湾,本岛,山地,平原,以及,岛屿,大陆,人口,2909,散居,各地
东乡族,373872,甘肃省,临夏回族自治州,境内,洮河,以西,大夏河,以东,黄河,以南,山麓,地带,其中,半数以上,聚居,东乡族自治县,其余,分别,聚居,政县,临夏县
侗族,351974,云南省,西盟,沧源,孟连三县,以及,耿马,澜沧,双江,镇康,永德,昌宁,勐海,分布
水族,345993,贵州省,三都水族自治县,以及,荔波,独山,都匀,榕江,从江,广西,融安,南丹,环江,河池
纳西族,278009,云南省,丽江纳西族自治县,以及,维西,中甸,宁蒗,德钦,永胜,鹤庆,剑川,兰坪,四川省,盐源,盐边,水里
羌族,198252,四川省,阿坝,藏族,自治州,茂汶,羌族,自治县,以及,汉川,理县,黑水,松潘
土族,191624,青海,互助土族自治县,民和,大通,两县
锡伯族,172847,新疆伊犁哈萨克自治州,察布查尔,锡伯族,自治县,伊犁河,流域,霍城,巩留,两县
仫佬族,159328,广西壮族自治区,罗城县,以及,宜山,柳城,忻城
柯尔克孜族,141549,新疆,维吾尔族,自治区,西南部,克孜勤,柯尔克孜,自治州
达斡尔族,121357,内蒙古自治区,黑龙江省,新疆维吾尔自治区,塔城地区
景颇族,119209,云南省德宏傣族景颇族自治州
撒拉族,87697,青海省循化撒拉族自治县,以及,化隆县,甘都,甘肃省,临夏,大河
布朗族,82280,云南省西双版纳傣族自治州,励海县,布朗,西定,巴达,临沧地区,双江,镇康,云县,耿马,思茅地区,澜沧,景东,景谷,墨江,普洱
毛南族,71968,广西壮族自治区,北部,环江,河池,南丹,宜山
塔吉克族,33538,新疆,塔什,库尔,以及,南疆,莎车,泽普,叶城,皮山
普米族,29657,云南省,兰坪,丽江,维西,永胜,宁蒗彝族自治县
阿昌族,27708,云南省德宏傣族景颇族自治州,陇川,梁河,潞西,保山,地区,龙陵
怒族,27123,云南省,怒江傈僳族自治州,碧江,福贡,贡山,三县,兰坪县,峨乡
鄂温克族,26315,内蒙古自治区,七个,黑龙江省,纳河
京族,18915,广西壮族自治区,防城各族自治县,江平,公社,万尾,巫头,山心,三个,小岛
基诺族,18021,云南省西双版纳傣族自治州,景洪县,基诺
德昂族,15462,云南省德宏傣族景颇族自治州,潞西县,三台山,临沧地区,镇康县,军弄
乌孜别克族,14502,新疆维吾尔自治区,伊宁,塔城,喀什,乌鲁木齐,莎车,叶城
俄罗斯族,13504,新疆维吾尔自治区,伊犁,塔城,阿勒泰,乌鲁木齐
裕固族,12297,甘肃省,甘南,裕固族自治县,酒泉市,黄泥堡,裕固族
保安族,12212,甘肃省,积石山保安族东乡族撒拉族自治县,大河,刘集,一带
门巴族,7475,西藏自治区,门隅,地区
独龙族,5816,云南省,贡山独龙族怒族自治县,独龙,河谷
塔塔尔族,4873,新疆维吾尔自治区,伊宁,塔城,乌鲁木齐市
鄂伦春族,4245,内蒙古自治区,呼伦贝尔盟,鄂伦春自治旗,布特哈,莫力达瓦达斡尔族自治旗,以及,黑龙江省,呼玛,逊克,爱辉,嘉阴
赫哲族,4245,黑龙江,同江,抚远,沿江,地区
珞巴族,2312,西藏自治区,地区,相邻,察隅,墨脱,米林,隆子
